smp2.virtio_net.CustomGuestLinux.nic_hotplug.additional.nic_8139: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.nic_hotplug.additional.nic_virtio: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.nic_hotplug.additional.nic_e1000: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.block_hotplug.fmt_qcow2.block_virtio: FAIL (0.70 s)
smp2.virtio_net.CustomGuestLinux.block_hotplug.fmt_qcow2.block_scsi: FAIL (0.63 s)
smp2.virtio_net.CustomGuestLinux.block_hotplug.fmt_raw.block_virtio: FAIL (0.54 s)
smp2.virtio_net.CustomGuestLinux.block_hotplug.fmt_raw.block_scsi: FAIL (0.54 s)
smp2.virtio_net.CustomGuestLinux.enospc: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.qmp_basic: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.qmp_basic_rhel6: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.vlan: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.ping.multi_nics: FAIL (0.66 s)
smp2.virtio_net.CustomGuestLinux.ping.ext_host: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.jumbo: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.file_transfer.remote: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.nicdriver_unload: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.nic_promisc: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.multicast: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.mac_change: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.netperf.guest_guest: FAIL (0.33 s)
smp2.virtio_net.CustomGuestLinux.netperf.host_guest: FAIL (0.45 s)
smp2.virtio_net.CustomGuestLinux.ethtool: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.nic_bonding: FAIL (0.94 s)
smp2.virtio_net.CustomGuestLinux.set_link: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.netstress_kill_guest.driver: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.netstress_kill_guest.load: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.physical_resources_check: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.ksm_overcommit.ksm_serial: FAIL (10.30 s)
smp2.virtio_net.CustomGuestLinux.ksm_overcommit.ksm_parallel: FAIL (10.23 s)
smp2.virtio_net.CustomGuestLinux.iofuzz: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.cgroup.blkio_bandwidth: FAIL (10.53 s)
smp2.virtio_net.CustomGuestLinux.cgroup.blkio_throttle: FAIL (11.65 s)
smp2.virtio_net.CustomGuestLinux.cgroup.blkio_throttle_multi: FAIL (11.60 s)
smp2.virtio_net.CustomGuestLinux.cgroup.cpu_cfs_util: FAIL (10.54 s)
smp2.virtio_net.CustomGuestLinux.cgroup.cpu_share: FAIL (10.52 s)
smp2.virtio_net.CustomGuestLinux.cgroup.cpuset_cpus: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.cgroup.cpuset_cpus_switching: FAIL (0.54 s)
smp2.virtio_net.CustomGuestLinux.cgroup.cpuset_mems_switching: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.cgroup.devices_access: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.cgroup.freezer: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.cgroup.memory_limit: FAIL (0.48 s)
smp2.virtio_net.CustomGuestLinux.cgroup.memory_memsw_limit: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.cgroup.memory_move: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.open: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.check_zero_sym: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.multi_open: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.close: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.polling: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.sigio: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.lseek: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.rw_host_offline: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.rw_host_offline_big_data: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.rw_blocking_mode: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.rw_nonblocking_mode: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.basic_loopback: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.rmmod: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.migration.offline: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.migration.online: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.restart.stressed: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.restart.unplugged_ports: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.stop_cont.short: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.stop_cont.long: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.replug_recv.short: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.replug_recv.long: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.replug_send.short: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.replug_send.long: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.replug_random.short: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.replug_random.long: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.hibernate.short: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.interrupted_transfer.hibernate.long: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.hotplug.timeout_0: FAIL (10.53 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.hotplug.timeout_1: FAIL (10.53 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.rw_notconnect_guest: FAIL (10.53 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtserialport.max_ports: FAIL (10.54 s)
